seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
1646665891,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.05,0.0,true,false,0.5,0.7927,0.25482528068626215,0.6359278415541819
451076672,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.05,0.05,true,false,0.5,0.7826,0.384487605417838,0.44799386659851775
1757353081,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.05,0.1,true,false,0.5,0.9814,0.3977990625636845,0.40696963521499896
-963628806,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.1,0.0,true,false,0.5,0.9093,0.2228087539865831,0.6917408995930936
-821685613,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.1,0.05,true,false,0.5,0.8947,0.36447971387057115,0.4930144182407511
-226166696,random_rep,2.0,30.0,8.0,0.4,0.0,0.4,0.0,0.1,0.1,true,false,0.5,0.9079,0.36931380107941403,0.4780262143407864
2043461423,random_rep,2.0,30.0,8.0,0.4,0.0,0.5,0.0,0.0,0.0,true,false,0.5,0.9931,0.29926492800322224,0.5828214681300977
-1663538445,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.05,0.05,true,false,0.5,0.0425,0.3458823529411765,0.3247058823529412
219060782,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.1,0.0,true,false,0.5,0.2673,0.4777403666292555,0.30939019827908715
1022118740,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.1,0.1,true,false,0.5,0.0,0.0,0.0
-696838864,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.0,0.05,true,false,0.5,0.173,0.3809248554913295,0.25953757225433527
-953297614,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.05,0.0,true,false,0.5,0.1319,0.5443517816527672,0.34950720242608035
-624397689,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.05,0.1,true,false,0.5,0.0583,0.33104631217838765,0.1680960548885077
-1059852851,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.1,0.05,true,false,0.5,0.0915,0.4240437158469945,0.3355191256830601
-585040659,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.0,0.0,true,false,0.5,0.344,0.3313953488372093,0.27761627906976744
898577953,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.0,0.1,true,false,0.5,0.2178,0.35537190082644626,0.2727272727272727
-251177803,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.05,0.05,true,false,0.5,0.12,0.3025,0.2808333333333333
565832505,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.1,0.0,true,false,0.5,0.1594,0.4611041405269762,0.28732747804265996
718574926,polygon_gem1000_rep,3.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.1,0.1,true,false,0.5,0.1964,0.3727087576374745,0.3243380855397149
-248679288,polygon_gem1000_rep,3.0,180.0,8.0,0.4,0.0,0.1,0.0,0.0,0.1,true,false,0.5,0.0272,0.30514705882352944,0.1213235294117647
614748518,polygon_gem1000_rep,3.0,180.0,8.0,0.4,0.0,0.1,0.0,0.05,0.05,true,false,0.5,0.0219,0.2876712328767123,0.045662100456621
-719819359,polygon_gem1000_rep,3.0,180.0,8.0,0.4,0.0,0.1,0.0,0.1,0.0,true,false,0.5,0.1881,0.44125465178096757,0.29771398192450826
1993724680,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.2,0.0,0.1,0.1,true,false,0.5,0.0,0.0,0.0
837333673,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.05,true,false,0.5,0.3113,0.4044330228075811,0.263732733697398
-1264190957,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.05,0.0,true,false,0.5,0.3065,0.4828711256117455,0.4101141924959217
-153526537,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.05,0.1,true,false,0.5,0.1381,0.31788559015206375,0.3005068790731354
-1237817634,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.1,0.05,true,false,0.5,0.0,0.0,0.0
-283510356,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.0,0.05,true,false,0.5,0.1688,0.3104265402843602,0.2938388625592417
-1525101064,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.05,0.0,true,false,0.5,0.1588,0.5132241813602015,0.28148614609571787
-2078914288,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.05,0.1,true,false,0.5,0.274,0.4208029197080292,0.2755474452554745
309919192,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.4,0.0,0.1,0.05,true,false,0.5,0.0,0.0,0.0
-453424250,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.0,0.0,true,false,0.5,0.2179,0.4125745754933456,0.26617714547957777
988619870,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.0,0.1,true,false,0.5,0.3931,0.3462223352836428,0.2737216993131519
-2102375359,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.05,0.05,true,false,0.5,0.175,0.308,0.24857142857142858
-517265919,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.1,0.0,true,false,0.5,0.2007,0.4200298953662182,0.4190333831589437
-190721461,polygon_gem1000_rep,1.0,180.0,8.0,0.30000000000000004,0.0,0.5,0.0,0.1,0.1,true,false,0.5,0.2366,0.37404902789518174,0.28994082840236685
-1897634988,polygon_gem1000_rep,1.0,180.0,8.0,0.4,0.0,0.1,0.0,0.0,0.05,true,false,0.5,0.245,0.4273469387755102,0.2220408163265306
2082086374,random_rep,1.0,180.0,8.0,0.4,0.0,0.2,0.0,0.1,0.0,true,false,0.5,0.1691,0.488468361916026,0.26493199290360736
1772269723,random_rep,1.0,180.0,8.0,0.4,0.0,0.2,0.0,0.1,0.05,true,false,0.5,0.0215,0.4697674418604651,0.20930232558139536
105625076,random_rep,1.0,180.0,8.0,0.4,0.0,0.2,0.0,0.1,0.1,true,false,0.5,2.0E-4,0.0,0.0
1900129099,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.0,0.0,true,false,0.5,0.1409,0.47480482611781405,0.2817601135557133
793757036,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.0,0.05,true,false,0.5,0.2456,0.3990228013029316,0.2728013029315961
-183536506,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.0,0.1,true,false,0.5,0.2274,0.38786279683377306,0.2757255936675462
1528898461,random_rep,1.0,180.0,8.0,0.4,0.0,0.30000000000000004,0.0,0.05,0.05,true,false,0.5,6.0E-4,0.5,0.0
