seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
820698594,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
-1046211306,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0257,0.2918287937743191,0.6809338521400778
526905403,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.05,0.1,true,true,0.5,0.3361,0.3597143707229991,0.4480809282951502
28311151,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-1113377541,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
-1117943117,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.30000000000000004,0.2,0.1,0.1,true,true,0.5,0.0558,0.32437275985663083,0.6362007168458781
23832578,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
-1172321848,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.0,0.05,true,true,0.5,0.001,0.6,0.2
-1974409513,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.0,0.1,true,true,0.5,0.6705,0.2942580164056674,0.4413124533929903
-1410338939,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
1511383292,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.05,0.1,true,true,0.5,0.8131,0.3041446316566228,0.47140573115237977
587751057,polygon_gem1000_rep,1.0,30.0,8.0,0.1,0.1,0.4,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
