"BehaviorSpace results (NetLogo 6.0.2)"
"COMPOTE.nlogo"
"experiment-dynDesease"
"06/13/2018 17:02:07:712 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","i-nb_managers","i-Svar1","i-radiusInfestMax","i-alpha","i-betap","i-Svar2","i-rProd","i-file_number","i-file_name","i-tpsExtermination","i-Svar3","i-Iinit","[step]","pct_infected_tot","pct_var1","pct_var2"
"56","0","0.5","2","1","0.5","0.1","0.25","10","""random_rep""","30","0.9","0.005","450","0.0812","0.0264","0.0262"
"57","0","0.5","4","1","0.5","0.1","0.25","10","""random_rep""","30","0.9","0.005","450","0.3628","0.1225","0.115"
"58","0","0.5","8","1","0.5","0.1","0.25","10","""random_rep""","30","0.9","0.005","450","0.8149","0.2825","0.2483"
"53","0","0.5","16","1","0.5","0.1","0.25","9","""random_rep""","30","0.9","0.005","450","1","0.3275","0.3333"
"36","0","0.5","32","1","0.5","0.1","0.25","6","""random_rep""","30","0.9","0.005","450","1","0.3274","0.3349"
"61","0","0.5","1","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"6","0","0.5","32","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","1","0.3311","0.328"
"62","0","0.5","2","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","0.1749","0.0246","0"
"59","0","0.5","16","1","0.5","0.1","0.25","10","""random_rep""","30","0.9","0.005","450","1","0.3384","0.327"
"63","0","0.5","4","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","0.4162","0.1883","0.0168"
"64","0","0.5","8","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","0.8918","0.4375","0.078"
"67","0","0.5","1","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"68","0","0.5","2","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","0.0024","0","0.0024"
"69","0","0.5","4","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","0.2279","0.212","0.0159"
"42","0","0.5","32","1","0.5","0.1","0.25","7","""random_rep""","30","0.9","0.005","450","1","0.3301","0.3326"
"48","0","0.5","32","1","0.5","0.1","0.25","8","""random_rep""","30","0.9","0.005","450","1","0.3352","0.3279"
"30","0","0.5","32","1","0.5","0.1","0.25","5","""random_rep""","30","0.9","0.005","450","1","0.3245","0.3342"
"73","0","0.5","1","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"70","0","0.5","8","1","0.5","0.1","0.25","2","""polygon_gem10_rep""","30","0.9","0.005","450","0.9667","0.511","0.1805"
"74","0","0.5","2","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","0.1796","0.0075","0.0015"
"75","0","0.5","4","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","0.5633","0.2117","0.0305"
"65","0","0.5","16","1","0.5","0.1","0.25","1","""polygon_gem10_rep""","30","0.9","0.005","450","0.9957","0.4375","0.1819"
"76","0","0.5","8","1","0.5","0.1","0.25","3","""polygon_gem10_rep""","30","0.9","0.005","450","0.9852","0.5166","0.1242"
"79","0","0.5","1","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"80","0","0.5","2","1","0.5","0.1","0.25","4","""polygon_gem10_rep""","30","0.9","0.005","450","0.0913","0.0275","0.0063"
"54","0","0.5","32","1","0.5","0.1","0.25","9","""random_rep""","30","0.9","0.005","450","1","0.3275","0.3333"
